summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min,weight
11/18/23,74,64,95,60,40,73,100,233,1844,5502,1,5680,111,415,646,242,24,2,1.40625,10,142,83,13,350,9,5.592339,3,1.864113,2023-11-18T04:00:00-08:00,2023-11-19T03:59:59-08:00,111111111111111111121221222111111111122211111112211111111222223300000033423332222222233222223223333322233233222222222333233333222223222221133232322233323322322222223322222222232233232222232233322333332232232332233000000000000000342222222222222222222111112211112212121111111112112323422221,
11/19/23,86,78,100,78,71,85,100,345,2005,7666,0,8547,70,472,492,366,37,3,1.5,15,206,125,22,200,5,3.106855,-3.5,-2.1747985,2023-11-19T04:00:00-08:00,2023-11-20T03:59:59-08:00,222222222111111111111111221111111111111111211211111233333000233322233334333343444442323323321222222322333333223232223333222333323323233233322222232222233332222222233233323323333323332222243322334333300000000002233332332222222222221111111111122111222322222211111111111111111111111112222221,
11/20/23,89,70,100,78,96,96,100,565,2320,13411,0,12815,24,208,599,535,70,4,1.75,17,331,227,26,200,5,3.106855,-9.1,-5.6544761,2023-11-20T04:00:00-08:00,2023-11-21T03:59:59-08:00,222222222203343223334332333333223322222232322222222233232333323333322223322322322232323343332322233332232233434333223222323322233223334333333223333232222332223333233223433333333333333323344333232343333344444333223233333333322200032223232322223232222111111111111111111211121111111112111111,
11/21/23,94,83,100,95,96,96,97,311,1967,6646,0,7816,148,374,471,424,23,0,1.46875,12,236,84,0,100,4,2.485484,-5.2,-3.2311292,2023-11-21T04:00:00-08:00,2023-11-22T03:59:59-08:00,111121112211122222422222222222222000000000000000000000000033332333323333332322333332234332333233333333333333333343333332322333333333333332232222332233222222122223222222222344222222222223333323333332333223332000022332222222222221111111121121112111211111111111111111111122211111111111111111,
11/22/23,98,100,100,95,96,95,100,152,1702,3290,0,3577,461,551,233,180,14,1,1.28125,7,103,45,6,150,4,2.485484,0,0,2023-11-22T04:00:00-08:00,2023-11-23T03:59:59-08:00,111111111221121211111112111111111111111112111111222233222000000000023332322333333222222344433333333333233333333323323323322222221111122222333233200000000000000000000000000000000000000000000000000000000000000000000000000000000032111111111111221111111111111211111211111111111111111112111111,494
11/23/23,89,71,100,95,71,84,100,210,1815,4587,0,5443,158,433,578,252,19,0,1.375,12,146,66,0,150,5,3.106855,-1.4,-0.8699194,2023-11-23T04:00:00-08:00,2023-11-24T03:59:59-08:00,111111111112111111111111112112111111111112222212222222222211111112222213332333000033222333322221111122222222212122223333332233333333322322222222222111113322232222234323423332222222333322233333322322333222222233222224333223332233034222222221111111112211111111111120000000000000000000000000,
11/24/23,97,86,100,100,96,95,100,434,2088,10509,0,8790,297,233,488,352,70,0,1.59375,7,211,244,0,350,9,5.592339,-2,-1.242742,2023-11-24T04:00:00-08:00,2023-11-25T03:59:59-08:00,000000000000000000000000000000000000000000000000000000033222233322322222322222222223322323333333222323323233332334334434444322434333343333333222233322322322222334332222233223233233332342333233333333433434000032222222233111111112112111112111112121211111122221221222122112221122212121111111,
11/25/23,97,100,100,100,96,82,100,12,1505,279,0,306,942,327,151,18,2,0,1.15625,0,7,5,0,350,9,5.592339,8.6,5.3437906,2023-11-25T04:00:00-08:00,2023-11-26T03:59:59-08:00,111112111111111111111121200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003222321000011322222111111111211121221211211122222212111222121122111122121121111,
11/26/23,89,69,100,100,71,75,100,240,1880,5030,0,5993,271,360,470,317,22,0,1.4375,12,169,74,0,200,6,3.728226,-0.9,-0.5592339,2023-11-26T04:00:00-08:00,2023-11-27T03:59:59-08:00,111111111111111111122112122212121122222221221112112111111120000003322332333322222222222232222222223323233322322333222323423333323333333333332333323333222222222222233333333333322223333234332233233443222200000032233222222222221222111222211121122121100000000000000000000000000000000000000000,
11/27/23,85,86,100,95,40,65,100,197,1853,3720,0,5170,462,190,484,292,11,1,1.40625,16,149,38,6,350,9,5.592339,3.9,2.4233469,2023-11-27T04:00:00-08:00,2023-11-28T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000000000233220232333433333332223323332333323333232332233323222232233232333323322223223223323333433222222223323333300000000000000033422333333333332223222222222211111111111111222222222221112122122221211122222221122221111111,
11/28/23,83,76,100,95,40,59,100,241,1902,4414,0,6385,71,405,550,400,12,2,1.4375,15,188,41,13,200,5,3.106855,-0.9,-0.5592339,2023-11-28T04:00:00-08:00,2023-11-29T03:59:59-08:00,111211111111111111110033332222233333333222222222332112222342212332333333333333333333333333323333222333323333333333333332233333333233333432232222222232233222333333333322222222000022222220000000022222333222222222233221111112212112211221111112221122111121112221221122211212111111111111111111,
11/29/23,81,99,100,78,40,54,100,303,1994,5364,0,8022,307,302,315,498,17,1,1.5,17,248,52,6,350,9,5.592339,1.2,0.7456452,2023-11-29T04:00:00-08:00,2023-11-30T03:59:59-08:00,111200000000000000000000000000000003322232223332222222222222233233343333333333333333333333323333323222223333333333333333333333333333333333333333333333333333333333343333423232323333323300000000000000000000000000000222111222221111111111111211111112121223212121112111111211212111112111111111,495
