summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min,weight
12/14/23,86,99,100,60,71,96,100,703,2385,17152,0,17595,63,449,317,490,119,2,1.78125,7,353,374,14,350,9,5.592339,-8.8,-5.4680648,2023-12-14T04:00:00-08:00,2023-12-15T03:59:59-08:00,111121111111111111111111111212211111211112233323222000000003342222222232333343333333334343333333333344433333443333344333433333433344433444444334334323322243332332233333232322233333333332223333333343322322330002322333333212211111111111111111212122122222112111111111221122111122133221111111,
12/15/23,86,100,100,60,71,95,100,6,1481,160,0,108,820,472,145,2,1,0,1.125,1,3,3,0,350,9,5.592339,8.8,5.4680648,2023-12-15T04:00:00-08:00,2023-12-16T03:59:59-08:00,111111111121121111111111120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002222222221222222222221111111111111121211111111221112111111111221111111111111111122111121111112111111,
12/16/23,77,93,100,43,40,92,100,222,1773,5636,0,4675,178,638,421,172,30,1,1.3125,8,136,86,6,400,11,6.835081,4.6,2.8583066,2023-12-16T04:00:00-08:00,2023-12-17T03:59:59-08:00,111111111111112111111111111211111111111121111112222112213300033322232223222222222111111111111233322233232223222332343433334434233323222322233222222233332422222223332222222220000000000000000000000000000000222222233211111111111111111111111111112122122111111211111111111112111222122111111111,
12/17/23,77,94,100,43,40,88,100,226,1800,5459,0,5522,417,440,328,234,20,1,1.34375,6,157,71,6,350,9,5.592339,3.2,1.9883872,2023-12-17T04:00:00-08:00,2023-12-18T03:59:59-08:00,111111111111111111111111111111111111111112211233211111213222121111111111222112233333333003334432222111233333333233333322332322323322222222222223322323233332200000023322000000002223333333200000000004222222222222332332222222221111111200000000000000000000000000000000000000000000000000000000,
12/18/23,80,89,100,43,71,95,100,416,2117,9351,0,10380,270,237,450,424,59,0,1.59375,19,240,184,0,350,9,5.592339,-1.5,-0.9320565,2023-12-18T04:00:00-08:00,2023-12-19T03:59:59-08:00,000000000000000000000000000000000000000000003332222222333333233343332223332333332333322333443333333333333443333332333433333323332333333233333333323332332334332222234322233222223233434333333222342222000000000322222222111121112333222221111111112211112221121222121121122112221111111111111111,
12/19/23,76,71,100,43,71,85,100,161,1700,3879,0,4197,123,563,570,164,20,0,1.28125,5,109,58,0,400,11,6.835081,6.1,3.7903631,2023-12-19T04:00:00-08:00,2023-12-20T03:59:59-08:00,122222122111111112222222212111122221111111111111222322222222223443302000032222202222221111111233433332222233322322333322222212111111111111122111122333222221212333222212222222433222222222330000000000000000233211203322233222233222222222222211111121111211111122221112221122211111111212211111,
12/20/23,75,70,100,43,71,78,100,204,1850,4106,0,5063,191,349,611,269,19,1,1.40625,16,129,66,6,350,9,5.592339,3.8,2.3612098,2023-12-20T04:00:00-08:00,2023-12-21T03:59:59-08:00,111122211211111110000000000000000000000000000000032222223223322233333333233232333332232332333333333222222222222222332223422223422333322222232222223333333223222223333423222322222222333323233223222222200000032222221111111111111111122211111222221121111111122212211222222212211111221211111111,486
12/21/23,70,96,100,25,40,67,100,143,1710,3100,0,3971,447,440,385,150,17,1,1.28125,10,90,46,7,350,9,5.592339,5.3,3.2932663,2023-12-21T04:00:00-08:00,2023-12-22T03:59:59-08:00,211111111111111111111112111111111112222124330000432432233333343322322333222222232323322222322233333222322333333222333222322222222222120000000000000000000000000000000000000000000000000000000000000000000000000000000000000222222222211111111121211111111111121112111112212111112112222211112111,
12/22/23,73,82,100,25,71,80,100,348,1991,7878,0,8607,22,521,471,375,46,5,1.5,11,198,127,34,350,9,5.592339,0.1,0.0621371,2023-12-22T04:00:00-08:00,2023-12-23T03:59:59-08:00,111111111111111111211112221212112111221211112212333222034333323323333432323222222222223233232232243233222332323322322223333332333332222233342333233333333433224333222232233323333332333332333433333322233333322212003422222211111111111112111111211221111121112222111112111111111221111121121111,
12/23/23,74,90,95,25,71,82,100,285,1899,6834,1,7142,305,369,451,279,35,1,1.4375,9,182,107,7,350,9,5.592339,1.7,1.0563307,2023-12-23T04:00:00-08:00,2023-12-24T03:59:59-08:00,122211112111111111120000000000000000000000000000000000000000000000000000000003333222223433322213333333222232222232222222322222112211111222343322334432222233432333333333333223322223333222333233333333344400222221121101112222222222222211111222212211112122122211221221112211111111211122111111,
